concept_id,concept_name,patient_count
4158326,Facial sinus finding,43124
444191,Injury of face,42986
4030041,Thyroid nodule,42806
605651,Hyperplastic thyroid nodule,42806
4171549,Nodular goiter,42806
318443,Arteriosclerotic vascular disease,42792
138790,Chronic periodontitis,42685
4115386,Finding of respiration,42544
4112603,"Tumor of esophagus, stomach and duodenum",42519
30753,Esophagitis,42516
4022921,Finding of lumbar spine,42474
434621,Autoimmune disease,42434
4154163,Jaw injury,42307
195906,Disorder of lumbar spine,42260
604687,Traumatic fracture of bone,42254
4086997,Skull finding,42082
4040720,Disorder of skull,42035
4080857,Conjunctival finding,41939
435524,Sleep disorder,41901
377889,Hearing loss,41895
40479625,Atherosclerosis of artery,41890
381854,Disorder of conjunctiva,41830
77358,Finding of hand region,41639
4103992,Mass of stomach,41621
36683647,Injury to skin caused by trauma,41614
44784217,Cardiac arrhythmia,41475
4129244,Neoplasm of neck,41330
77030,Disorder of breast,41021
139057,Disorder of oral soft tissues,40941
317009,Asthma,40870
31602,Disorder of the larynx,40840
4155904,Larynx finding,40840
4064329,Special cardiovascular system test abnormal,40637
137989,Abnormal results of cardiovascular function studies,40637
4022923,Finding of knee region,40592
4134443,Disorder of knee,40467
4283893,Sinusitis,40448
4033295,Chronic mucositis,40054
196734,Disorder of prostate,39972
4093344,Prostate finding,39972
437038,Blood in urine,39891
79864,Hematuria syndrome,39830
4302223,Fracture of bone of head,39797
77635,Disorder of hand,39705
4054054,Joint injury,39693
4179141,Lesion of joint,39607
4132546,Traumatic brain injury,39485
375807,Degenerative disorder of eye,39431
443568,Malignant neoplasm of gastrointestinal tract,39037
4030518,Renal impairment,39016
442781,Disorder of uterine cervix,38945
4095922,Uterine cervix finding,38945
4353828,Coronary artery finding,38698
4187067,Disorder of coronary artery,38698
4104000,Lesion of liver,38670
4130995,Neoplasm of colon,38660
4179720,Primary malignant neoplasm of gastrointestinal tract,38491
4182007,Inflammation of joint,38389
4131909,Neoplasm of thyroid gland,38319
4291025,Arthritis,38306
4300157,Injury of connective tissue,38270
4186164,Finding of bone of upper limb,38115
201093,Infection of skin and/or subcutaneous tissue,38045
4022449,Finding of shoulder region,37952
4092881,Urinary bladder finding,37909
4183953,Mass of skin,37857
80767,Breast lump,37824
4099350,Infectious disease of genitourinary system,37461
30437,Gastro-esophageal reflux disease with esophagitis,37455
4029043,Infection of skin,37271
4154578,Injury of dental structures,37160
37016775,Injury of back,37115
4028367,Acute disease of cardiovascular system,37112
4023317,Open wound of limb,37030
4212540,Chronic liver disease,37016
442105,Benign neoplasm of soft tissue,36768
4131611,Neoplasm of stomach,36669
195500,Benign neoplasm of uterus,36458
607997,Injury of vertebral column region,36447
444207,Inflammatory disorder of the eye,36443
375527,Headache disorder,36349
317576,Coronary arteriosclerosis,36347
4101343,Functional finding of gastrointestinal tract,36329
40481919,Coronary atherosclerosis,36245
37160528,Injury of tooth,36231
4290964,Superficial injury of skin,36195
37016195,Leiomyoma,36027
197236,Uterine leiomyoma,36026
4128492,Lesion of breast,35880
619743,Injury of wrist and/or hand,35825
4265600,Gastric ulcer,35684
37167887,Maternal disorder during pregnancy,35519
435875,"Complication of pregnancy, childbirth and/or puerperium",35509
37312439,Fracture of multiple bones,35438
443732,Disorder due to type 2 diabetes mellitus,35371
4134595,Chronic disease of genitourinary system,35273
81251,Neoplasm of breast,35170
4176800,Degenerative disorder of bone,34870
4324690,Fracture of skull,34824
4022924,Finding of foot region,34735
604317,Finding of bone of lower limb,34621
4018852,Acute genitourinary disorder,34435
4050747,Fracture of upper limb,34406
4145825,Anorectal disorder,34285
4129482,Ovary finding,34226
4207977,Disorder of ovary,34041
4196708,Seizure related finding,34024
377091,Seizure,34024
321318,Angina pectoris,34011
4185186,Lesion of skeletal muscle,33961
4114222,Malignant tumor of head and neck,33915
444090,Disorder of foot,33673
4080011,Organ dysfunction syndrome,33655
4087618,Facial bone finding,33559
4134127,Disorder of facial bone,33546
195856,Cholangitis,33498
4176944,Infective disorder of head,33480
197032,Hyperplasia of prostate,33476
4185976,Lesion of lumbar spine,33314
4193161,Disorder following clinical procedure,33309
4145627,Biliary calculus,33300
72986,Disorder of lower leg,33298
4234997,Disorder of vein,33055
4116778,Lesion of lung,33002
4341650,Liver disorder due to infection,32905
77630,Disorder of shoulder,32798
194087,Hepatitis due to infection,32691
4291005,Viral hepatitis,32689
442103,Benign neoplasm of intestinal tract,32622
4024558,Disorder associated with menstruation AND/OR menopause,32583
43022059,Disease of non-coronary systemic artery,32575
140214,Eruption,32533
80502,Osteoporosis,32252
4052554,Disorder of pleura and pleural cavity,32221
4187096,Fracture of lower limb,32066
4301471,Disorder of the lower urinary tract,32006
4124650,Lesion of ovary,32006
4159165,Closed fracture of skull,31927
436101,Disorder of meninges,31534
4113236,Finding of meninges,31534
4248429,Gastric ulcer without hemorrhage AND without perforation,31371
4134429,Disorder of gastrointestinal tract mucous membrane,31325
257012,Chronic sinusitis,31232
1076135,Bleeding of soft tissue,30963
